affiliation1	affiliation2	doculect	location1	location2	textID	text_segment	tokenID	token_context	context_translation	token	token_translation	pro	anim	weight	role	flag	position	nc	comments
hell	ponticgreek	romeyka	40.5928	40.2190	A	1	1	emistine adha sin otshena jashae:vume	we live here in Ogene	adha sin otshena	here in Ogene		inan	3	loc	prep	0	NA	article fused with the preposition counted as additional word
hell	ponticgreek	romeyka	40.5928	40.2190	A	2	2	eskiden beri hadhatshes imestine	since old times we are here	hadhatshes	here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	3	3	mis adhatshes erthdhafame	here we grew up	adhatshes	here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	4	4	eskiden beri adhatshes emis jashayevume	since old times we live here	adhatshes	here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	5	5	ta xorafe muna to spidae muna ula adhatshes ine	our fields, our houses are all here	adhatshes	here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	6	6	mikri emis adhatshes eporpatesam	when we were small we walked here	adhatshes	here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	7	7	to mektebi adhatsheka xujepsame	we studied school here	to mektebi	the school		inan	2	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	7	8	to mektebi adhatsheka xujepsame	we studied school here	adhatsheka	here		adv	1	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	8	9	jane hadha so mehele jok	well, in this neighbourhood there was no school	hadha so mehele	here in the neighborhood		inan	3	loc	prep	0	NA	no verb existing; only Turkish existential particle 'yok'; subject omitted
hell	ponticgreek	romeyka	40.5928	40.2190	A	8	10	tshe so merkes ebejnam tsh erxumestine	and we went to the center and returned	so merkes	to the center		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	9	11	ta shone bir metre emis so mekteb ebejname	the snows were one meter, we went to school	so mekteb	to the school		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	10	12	kainis emas jardim utsh ebine	nobody helped us	emas	us	1	hum	1	do-def	case	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	11	13	manax ebejnam tsh erxumis ama edodes havudzhes bola kalabaluyi edune	we went and returned alone, but in earlier times these places were very crowded	bola kalabaluyi	very crowded		adj	2	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	12	14	hadha so mehele belki esane jetmish seksen tane o:rendzhiris	here in the neighbourhood there were maybe seventy eighty pupils	hadha so mehele	here in the neighborhood		inan	2	loc	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	13	15	emistin edodes so merkezi ebejname	in earlier times we used to go to the center	so merkezi	to the center		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	14	16	s emetero to mehele mektebi utsh edon	in our neighbourhood there was no school	s emetero to mehele	in our neighborhood		inan	3	loc	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	15	17	ta shone bir metre ebejnam tsh erxumunis bir zamanlar so kulin da bejname	with the snows one meter we went and came, once when we went to school	so kulin	to the school		inan	2	goal	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	15	18	edodes dzhuma:rtesi oston oile ba xujevame	in these days we studied till saturday midday	dzhumartesi oston oile	on Saturday till noon		inan	3	other	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	16	19	totes hajes edon ama har hajes utsh en	in earlier times it was like this but now it is not like this	hajes	such		adj	1	cop	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	17	20	dzuma:rtesi tatili en	saturday is holiday	tatili	holiday		inan	1	cop	bare	0	NA	integrated loan word
hell	ponticgreek	romeyka	40.5928	40.2190	A	18	21	etotes ejbenam ost akshem ishte so xorio	back then we went till evening to the village	so xorio	to the village		inan	2	goal	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	18	22	aso spidiz eban aberename	we took (it) up from the house	aso spidis	from the house		inan	2	abl	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	18	23	aso spidi z eban aberename	we took (it) up from the house	eban	up		adv	1	goal	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	19	24	bazen para berename	sometimes we took money	para	money		inan	1	do	bare	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	19	25	edroyame asa bakale	and ate from the shops	asa bakale	from the shops		inan	2	abl	prep	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	20	26	bazen aso spidi eberenam tsh ebejname	sometimes we took (and went) from the house	aso spidi	from the house		inan	2	abl	prep	0	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	20	27	psomi, katuxi	bread, spread	psomi, katuxi	bread, spread		inan	2	do	bare	1	NA	
hell	ponticgreek	romeyka	40.5928	40.2190	A	20	28	itshieya etroyame	we ate there	itshieya	there		inan	1	loc	bare	0	NA	
